"user_name","purchase_count"
"ashik rahman c",2
"ashish bajaj",2
"basavaraj huggi",4
"bhanu",2
"bhaskar",2
"bhavesh sabalpara",2
"biswaboka",2
"chaitanya srikrishna",2
"chakrapani p",2
"chetan kamerkar",4
"chetan tandel",7
"chintan",3
"customer",2
"datta DG",2
"deep",3
"deepa",2
"deepak",2
"deepank Sonwal",2
"dhruvi",2
"dinesh",6
"drravish",2
"ganesh",4
"gopi",2
"gunasekaran desomayananam",4
"hari",2
"harpreet",3
"hemant",2
"hiba",3
"hrithik",3
"indhu",7
"indrajyoti d.",10
"janarthanan",4
"jaspreet singh",8
"jaswant sai",2
"jayaprathap",2
"kajal Kiran",2
"kanishk",2
"kapil",2
"karan",3
"karuppu k",4
"kavan",2
"keshav",4
"keshav Chelmeti",4
"khushal027",2
"kottala samuel",2
"koustav",2
"kuldip teli",2
"kumar Raja D",3
"lalit",2
"livin sebi",3
"lokeshnist",2
"madhu",4
"mahaboobali khan",2
"mahesh radheshyam tawari",3
"manish",2
"manjunath h",3
"mitesh",2
"mohd irfan",2
"mram",2
"naveen",3
"nilesh",3
"nisar",4
"nitesh",3
"pallavi",2
"palpandia153",2
"pawan k.",3
"pooja",2
"prabakaran",5
"pragati",2
"prakash",2
"pramod b.",2
"prasanth",2
"prateeq",4
"pravesh",4
"priyanka Gowda",2
"pruthvi natraj",3
"pushkraj_4_ever",3
"rag",3
"rahul",2
"rahuls6099",3
"raja",3
"rajat kumar",2
"rajendra",2
"rajendran",4
"rajiv",2
"ramesh",2
"ravi",3
"rhymerium",2
"rohit",2
"roshan",3
"roshan s.",3
"roy",2
"ruhi a.",2
"s s.",2
"sai k.",2
"sai niharka",3
"samarth shukla",2
"sameer Dubey",4
"sandeep",2
"sandip",2
"sangamesh",5
"sanjay",3
"sanket",2
"santosh",3
"saqib malik",3
"satyanarayana",2
"sejal ghuge",2
"seshu P",2
"shaan bishwas",2
"shaker",2
"shalem",3
"shallu",2
"shaurya",3
"shiv",3
"shradha nair",2
"shreyas",3
"shubham",3
"shwetha murthy",2
"siddharth patnaik",6
"simam.mular",2
"siva k.",3
"sivaramakrishnan c",2
"smsn",2
"sonia",7
"subeh sharma",2
"subhabrata paul",2
"sudhanshu chaubey",3
"sudhansu sekhar khandai",2
"sumegh",2
"sumit",3
"sunil",3
"supreeth achar",2
"suraj",2
"suresh",3
"suresh gaur",3
"sushil kumar",2
"swaraj",2
"swarn",4
"syed azhar abbas",5
"tarun",2
"tarun kumar",3
"uday",2
"uma vijay",3
"vansh gurjar",4
"varun sharma",2
"veer",2
"venkatesh",4
"venkatesh kg",5
"vijay",3
"vinayp",6
"vinod thonti",4
"vipin gupta",2
"virender",4
"virender malhotra",4
"vishalkumar patil",2
"viswanath",3
"viswanath Raju",4
"vivek",2
"vivek rajpooot",2
"xxxxxxxxxxxxxxxxxxxxxx",3
"yeses",3
"yogita ratre",4
"zubair",2
"ÂRUN MOHAN",2
"श्रीPKजी",5
"⚡ Pushpendra Singh Patel ⚡",4
"𝕵𝖆𝖙𝖎𝖓 𝕮𝖍𝖆𝖉𝖍𝖆",2
